drug_name,trust_score,total_reviews,positive_reviews,side_effects,age_completion,gender_completion
yellow fever vaccine,1.0,1,1,0,0.0,0.0
zenatane,1.0,2,2,0,0.5,0.5
zelapar,1.0,1,1,0,0.0,0.0
zyrtec-d,1.0,1,1,0,0.0,0.0
zovia 1 / 50,1.0,1,1,0,0.0,0.0
xerac ac,1.0,2,2,0,0.0,0.0
xenaderm,1.0,1,1,0,0.0,0.0
exparel,1.0,1,1,0,0.0,0.0
xopenex hfa,1.0,1,1,0,0.0,0.0
excedrin back & body,1.0,1,1,0,0.0,0.0
chaparral,1.0,1,1,0,0.0,0.0
nimodipine,1.0,1,1,0,0.0,1.0
nimotop,1.0,1,1,0,0.0,0.0
nitrolingual pumpspray,1.0,2,2,0,0.0,0.0
children's motrin,1.0,1,1,0,0.0,0.0
chloral hydrate,1.0,1,1,0,0.0,0.0
chlorcyclizine / phenylephrine,1.0,1,1,0,0.0,0.0
orudis kt,1.0,1,1,0,0.0,0.0
ortho d,1.0,1,1,0,0.0,0.0
oraqix,1.0,1,1,0,0.0,1.0
nicotrol ns,1.0,1,1,0,0.0,0.0
neutrasal,1.0,2,2,0,0.0,0.0
cetirizine / pseudoephedrine,1.0,1,1,0,0.0,0.0
opcon-a,1.0,1,1,0,1.0,0.0
opium deodorized,1.0,2,2,0,0.0,0.0
caverject,1.0,1,1,0,0.0,0.0
pamabrom,1.0,2,2,0,0.0,0.0
noritate,1.0,1,1,0,0.0,0.0
carbinoxamine,1.0,1,1,0,0.0,0.0
carafate,1.0,2,2,0,0.0,0.0
florinef acetate,1.0,1,1,0,0.0,0.0
alclometasone,1.0,1,1,0,0.0,0.0
aldactazide,1.0,1,1,0,0.0,0.0
dyazide,1.0,1,1,0,0.0,1.0
dynacirc cr,1.0,1,1,0,0.0,0.0
firazyr,1.0,1,1,0,0.0,0.0
e-z-gas ii,1.0,1,1,0,0.0,0.0
e.e.s.-400,1.0,1,1,0,0.0,0.0
flunisolide,1.0,1,1,0,0.0,0.0
fleet phospho soda,1.0,1,1,0,0.0,0.0
advil cold and sinus liqui-gels,1.0,1,1,0,0.0,0.0
advil liqui-gels,1.0,1,1,0,0.0,0.0
addyi,1.0,1,1,0,0.0,0.0
vanspar,1.0,1,1,0,0.0,0.0
vagistat-1,1.0,3,3,0,0.0,0.0
alahist lq,1.0,1,1,0,0.0,0.0
tudorza pressair,1.0,3,3,0,0.0,0.3333333333333333
tums regular strength,1.0,3,3,0,0.0,0.0
tussicaps,1.0,2,2,0,0.0,0.5
ubiquinone,1.0,1,1,0,0.0,0.0
glyxambi,1.0,2,2,0,0.0,0.0
aluminum hydroxide / magnesium hydroxide / simethicone,1.0,1,1,0,0.0,0.0
terazol 3,1.0,1,1,0,0.0,0.0
amethyst,1.0,1,1,0,0.0,1.0
gas-x,1.0,1,1,0,0.0,0.0
galantamine,1.0,2,2,0,0.0,0.0
freshkote,1.0,1,1,0,0.0,0.0
generlac,1.0,1,1,0,0.0,0.0
genteal,1.0,1,1,0,0.0,0.0
glyburide / metformin,1.0,1,1,0,0.0,0.0
trolamine salicylate,1.0,3,3,0,0.0,0.0
fosrenol,1.0,1,1,0,0.0,0.0
flurbiprofen,1.0,1,1,0,0.0,0.0
doxorubicin,1.0,1,1,0,0.0,0.0
trezix,1.0,1,1,0,0.0,0.0
aliskiren / hydrochlorothiazide,1.0,1,1,0,0.0,0.0
allegra-d 12 hour,1.0,1,1,0,0.0,0.0
tricor,1.0,2,2,0,0.0,0.0
tri-lo-marzia,1.0,1,1,0,0.0,1.0
mysoline,1.0,2,2,0,0.0,0.0
olux,1.0,2,2,0,0.0,0.0
olysio,1.0,1,1,0,0.0,0.0
nystatin / triamcinolone,1.0,3,3,0,0.0,0.0
nystop,1.0,1,1,0,0.0,0.0
chlorpheniramine / hydrocodone / pseudoephedrine,1.0,1,1,0,0.0,0.0
chlorpheniramine / dextromethorphan / phenylephrine,1.0,1,1,0,0.0,0.0
myophen,1.0,1,1,0,0.0,0.0
pemoline,1.0,1,1,0,0.0,0.0
pegaptanib,1.0,1,1,0,0.0,0.0
phenylephrine / pramoxine,1.0,1,1,0,0.0,0.0
patanol,1.0,4,4,0,0.0,0.5
calci-chew,1.0,1,1,0,0.0,0.0
percodan,1.0,2,2,0,0.0,0.0
dolobid,1.0,1,1,0,0.0,1.0
succinylcholine,1.0,1,1,0,0.0,0.0
stimate,1.0,1,1,0,0.0,0.0
stiolto respimat,1.0,4,4,0,0.0,0.0
gris-peg,1.0,1,1,0,0.0,0.0
disalcid,1.0,1,1,0,0.0,0.0
hexachlorophene,1.0,1,1,0,0.0,0.0
tolectin ds,1.0,1,1,0,0.0,0.0
halaven,1.0,1,1,0,0.0,1.0
amcinonide,1.0,1,1,0,0.0,0.0
altavera,1.0,1,1,0,0.0,0.0
theophylline,1.0,1,1,0,0.0,0.0
theratears,1.0,1,1,0,0.0,0.0
microzide,1.0,1,1,0,0.0,1.0
migergot,1.0,1,1,0,0.0,0.0
milk of magnesia,1.0,2,2,0,0.0,0.5
monistat 1-day or night combination pack,1.0,3,3,0,0.0,1.0
caltrate 600+d,1.0,1,1,0,0.0,0.0
mg217 medicated tar,1.0,1,1,0,0.0,0.0
miacalcin nasal,1.0,1,1,0,0.0,0.0
metolazone,1.0,1,1,0,0.0,1.0
methergine,1.0,2,2,0,0.0,0.5
bronkaid,1.0,1,1,0,0.0,0.0
procrit,1.0,1,1,0,0.0,0.0
primatene,1.0,1,1,0,0.0,0.0
brimonidine / timolol,1.0,2,2,0,0.0,0.0
blistex,1.0,1,1,0,0.0,0.0
prascion ra,1.0,1,1,0,0.0,0.0
bumetanide,1.0,1,1,0,0.0,0.0
buprenex,1.0,1,1,0,0.0,0.0
inova 4 / 1,1.0,1,1,0,0.0,0.0
sine-off maximum strength,1.0,1,1,0,0.0,0.0
sinequan,1.0,1,1,0,0.0,0.0
arcalyst,1.0,1,1,0,0.0,0.0
icatibant,1.0,1,1,0,0.0,0.0
diazepam intensol,1.0,1,1,0,0.0,1.0
dextromethorphan / promethazine,1.0,1,1,0,0.0,0.0
dextrostat,1.0,1,1,0,0.0,0.0
insulin isophane,1.0,1,1,0,0.0,0.0
synarel,1.0,1,1,0,0.0,0.0
hyosyne,1.0,1,1,0,0.0,0.0
immune globulin intravenous,1.0,1,1,0,0.0,0.0
ansaid,1.0,1,1,0,0.0,0.0
anacin,1.0,2,2,0,0.0,0.0
