drug_name,raw_score,total_reviews,positive_reviews,side_effects,age_completion,gender_completion,trust_score
zovia 1 / 50,1.0,1,1,0,0.0,0.0,1.0
disalcid,1.0,1,1,0,0.0,0.0,1.0
zyrtec-d,1.0,1,1,0,0.0,0.0,1.0
dolobid,1.0,1,1,0,0.0,1.0,1.0
dyazide,1.0,1,1,0,0.0,1.0,1.0
dynacirc cr,1.0,1,1,0,0.0,0.0,1.0
e-z-gas ii,1.0,1,1,0,0.0,0.0,1.0
e.e.s.-400,1.0,1,1,0,0.0,0.0,1.0
vicodin hp,1.0,1,1,0,0.0,0.0,1.0
vienva,1.0,1,1,0,0.0,0.0,1.0
viread,1.0,1,1,0,0.0,0.0,1.0
vosol hc,1.0,1,1,0,0.0,0.0,1.0
vospire er,1.0,1,1,0,0.0,0.0,1.0
wart remover,1.0,1,1,0,0.0,0.0,1.0
wp thyroid,1.0,1,1,0,0.0,0.0,1.0
xenaderm,1.0,1,1,0,0.0,0.0,1.0
enjuvia,1.0,1,1,0,0.0,0.0,1.0
derma-smoothe / fs (scalp),1.0,1,1,0,0.0,0.0,1.0
ephedrine,1.0,1,1,0,1.0,0.0,1.0
epinephrine,1.0,1,1,0,0.0,0.0,1.0
epoprostenol,1.0,1,1,0,0.0,0.0,1.0
epsom salt,1.0,1,1,0,0.0,0.0,1.0
decadron,1.0,1,1,0,0.0,0.0,1.0
erythrocin,1.0,1,1,0,0.0,0.0,1.0
eskalith,1.0,1,1,0,0.0,0.0,1.0
esomeprazole / naproxen,1.0,3,3,0,0.0,0.3333333333333333,1.0
esterified estrogens,1.0,1,1,0,0.0,0.0,1.0
ultram odt,1.0,1,1,0,1.0,0.0,1.0
vagistat-1,1.0,3,3,0,0.0,0.0,1.0
abobotulinumtoxina,1.0,1,1,0,0.0,0.0,1.0
vandazole,1.0,1,1,0,0.0,0.0,1.0
vanspar,1.0,1,1,0,0.0,0.0,1.0
vasotec,1.0,1,1,0,0.0,0.0,1.0
estratest h.s.,1.0,1,1,0,0.0,0.0,1.0
dapagliflozin / metformin,1.0,1,1,0,0.0,1.0,1.0
darbepoetin alfa,1.0,2,2,0,0.0,0.0,1.0
daypro,1.0,2,2,0,0.0,0.0,1.0
ethmozine,1.0,1,1,0,0.0,0.0,1.0
evoxac,1.0,1,1,0,0.0,0.0,1.0
tums regular strength,1.0,3,3,0,0.0,0.0,1.0
tussicaps,1.0,2,2,0,0.0,0.5,1.0
acetaminophen / caffeine / isometheptene mucate,1.0,1,1,0,0.0,0.0,1.0
acetaminophen / chlorpheniramine,1.0,1,1,0,0.0,0.0,1.0
acetaminophen / dextromethorphan / pseudoephedrine,1.0,1,1,0,0.0,0.0,1.0
tylox,1.0,3,3,0,0.0,0.0,1.0
tyvaso,1.0,1,1,0,0.0,0.0,1.0
ubiquinone,1.0,1,1,0,0.0,0.0,1.0
evzio,1.0,1,1,0,0.0,0.0,1.0
excedrin back & body,1.0,1,1,0,0.0,0.0,1.0
excedrin pm,1.0,1,1,0,0.0,0.0,1.0
exparel,1.0,1,1,0,0.0,0.0,1.0
feen-a-mint,1.0,1,1,0,0.0,0.0,1.0
femring,1.0,1,1,0,0.0,0.0,1.0
fenoprofen,1.0,1,1,0,0.0,0.0,1.0
tricor,1.0,2,2,0,0.0,0.0,1.0
trolamine salicylate,1.0,3,3,0,0.0,0.0,1.0
acidophilus,1.0,2,2,0,0.0,0.0,1.0
acnex,1.0,1,1,0,0.0,0.0,1.0
acrivastine / pseudoephedrine,1.0,1,1,0,0.0,0.0,1.0
tryptophan,1.0,1,1,0,0.0,0.0,1.0
tudorza pressair,1.0,3,3,0,0.0,0.3333333333333333,1.0
finacea,1.0,2,2,0,0.0,0.0,1.0
firazyr,1.0,1,1,0,0.0,0.0,1.0
cromolyn,1.0,1,1,0,0.0,0.0,1.0
fleet phospho soda,1.0,1,1,0,0.0,0.0,1.0
florinef acetate,1.0,1,1,0,0.0,0.0,1.0
flunisolide,1.0,1,1,0,0.0,0.0,1.0
flurbiprofen,1.0,1,1,0,0.0,0.0,1.0
coreg cr,1.0,1,1,0,0.0,0.0,1.0
fosrenol,1.0,1,1,0,0.0,0.0,1.0
freshkote,1.0,1,1,0,0.0,0.0,1.0
tolectin ds,1.0,1,1,0,0.0,0.0,1.0
acuvail,1.0,1,1,0,0.0,0.0,1.0
addyi,1.0,1,1,0,0.0,0.0,1.0
trezix,1.0,1,1,0,0.0,0.0,1.0
tri-lo-marzia,1.0,1,1,0,0.0,1.0,1.0
galantamine,1.0,2,2,0,0.0,0.0,1.0
gas-x,1.0,1,1,0,0.0,0.0,1.0
generlac,1.0,1,1,0,0.0,0.0,1.0
genteal,1.0,1,1,0,0.0,0.0,1.0
collagenase santyl,1.0,1,1,0,0.0,0.0,1.0
condylox,1.0,1,1,0,0.0,0.0,1.0
glyburide / metformin,1.0,1,1,0,0.0,0.0,1.0
glyxambi,1.0,2,2,0,0.0,0.0,1.0
gris-peg,1.0,1,1,0,0.0,0.0,1.0
coartem,1.0,1,1,0,0.0,0.0,1.0
codimal dm,1.0,1,1,0,0.0,0.0,1.0
halaven,1.0,1,1,0,0.0,1.0,1.0
terazol 3,1.0,1,1,0,0.0,0.0,1.0
theophylline,1.0,1,1,0,0.0,0.0,1.0
theratears,1.0,1,1,0,0.0,0.0,1.0
advil cold and sinus liqui-gels,1.0,1,1,0,0.0,0.0,1.0
advil liqui-gels,1.0,1,1,0,0.0,0.0,1.0
hexachlorophene,1.0,1,1,0,0.0,0.0,1.0
hyosyne,1.0,1,1,0,0.0,0.0,1.0
icatibant,1.0,1,1,0,0.0,0.0,1.0
immune globulin intravenous,1.0,1,1,0,0.0,0.0,1.0
inova 4 / 1,1.0,1,1,0,0.0,0.0,1.0
insulin isophane,1.0,1,1,0,0.0,0.0,1.0
invega trinza,1.0,3,3,0,0.0,0.6666666666666666,1.0
iron polysaccharide,1.0,1,1,0,0.0,0.0,1.0
isoproterenol,1.0,1,1,0,0.0,0.0,1.0
symax duotab,1.0,1,1,0,0.0,0.0,1.0
synarel,1.0,1,1,0,0.0,0.0,1.0
alahist lq,1.0,1,1,0,0.0,0.0,1.0
alclometasone,1.0,1,1,0,0.0,0.0,1.0
aldactazide,1.0,1,1,0,0.0,0.0,1.0
junel fe 24,1.0,1,1,0,0.0,1.0,1.0
kalydeco,1.0,1,1,0,0.0,1.0,1.0
kemadrin,1.0,1,1,0,0.0,0.0,1.0
chlorcyclizine / phenylephrine,1.0,1,1,0,0.0,0.0,1.0
chlorpheniramine / dextromethorphan / phenylephrine,1.0,1,1,0,0.0,0.0,1.0
chlorpheniramine / hydrocodone / pseudoephedrine,1.0,1,1,0,0.0,0.0,1.0
kerydin,1.0,3,3,0,0.0,0.0,1.0
ketotifen,1.0,1,1,0,0.0,0.0,1.0
kineret,1.0,3,3,0,0.0,0.0,1.0
krystexxa,1.0,1,1,0,0.0,0.0,1.0
kyprolis,1.0,1,1,0,0.0,0.0,1.0
lacrisert,1.0,1,1,0,0.0,0.0,1.0
cetirizine / pseudoephedrine,1.0,1,1,0,0.0,0.0,1.0
chaparral,1.0,1,1,0,0.0,0.0,1.0
children's motrin,1.0,1,1,0,0.0,0.0,1.0
chloral hydrate,1.0,1,1,0,0.0,0.0,1.0
stimate,1.0,1,1,0,0.0,0.0,1.0
stiolto respimat,1.0,4,4,0,0.0,0.0,1.0
aliskiren / hydrochlorothiazide,1.0,1,1,0,0.0,0.0,1.0
allegra-d 12 hour,1.0,1,1,0,0.0,0.0,1.0
stromectol,1.0,1,1,0,0.0,0.0,1.0
succinylcholine,1.0,1,1,0,0.0,0.0,1.0
lesinurad,1.0,1,1,0,0.0,0.0,1.0
levocarnitine,1.0,1,1,0,0.0,0.0,1.0
lidocaine / menthol,1.0,1,1,0,0.0,0.0,1.0
lindane,1.0,1,1,0,0.0,0.0,1.0
lo / ovral,1.0,1,1,0,0.0,0.0,1.0
carbinoxamine,1.0,1,1,0,0.0,0.0,1.0
caverject,1.0,1,1,0,0.0,0.0,1.0
soma compound,1.0,2,2,0,0.0,0.5,1.0
somatropin,1.0,2,2,0,0.0,0.0,1.0
sotalol hydrochloride af,1.0,1,1,0,0.0,0.0,1.0
spectracef,1.0,1,1,0,0.0,0.0,1.0
altavera,1.0,1,1,0,0.0,0.0,1.0
aluminum hydroxide / magnesium hydroxide / simethicone,1.0,1,1,0,0.0,0.0,1.0
loteprednol / tobramycin,1.0,2,2,0,0.0,0.0,1.0
lucentis,1.0,1,1,0,1.0,0.0,1.0
magaldrate / simethicone,1.0,1,1,0,0.0,0.0,1.0
magnacet,1.0,1,1,0,0.0,0.0,1.0
magnesium aspartate,1.0,1,1,0,0.0,0.0,1.0
carafate,1.0,2,2,0,0.0,0.0,1.0
medrox,1.0,1,1,0,0.0,0.0,1.0
mephobarbital,1.0,2,2,0,0.0,0.0,1.0
metaproterenol,1.0,1,1,0,0.0,0.0,1.0
methergine,1.0,2,2,0,0.0,0.5,1.0
calci-chew,1.0,1,1,0,0.0,0.0,1.0
caltrate 600+d,1.0,1,1,0,0.0,0.0,1.0
metolazone,1.0,1,1,0,0.0,1.0,1.0
saw palmetto,1.0,2,2,0,0.0,0.0,1.0
sebulex,1.0,1,1,0,0.0,0.0,1.0
sevelamer,1.0,1,1,0,0.0,0.0,1.0
silvadene,1.0,1,1,0,0.0,0.0,1.0
amcinonide,1.0,1,1,0,0.0,0.0,1.0
amethyst,1.0,1,1,0,0.0,1.0,1.0
sine-off maximum strength,1.0,1,1,0,0.0,0.0,1.0
sinequan,1.0,1,1,0,0.0,0.0,1.0
mg217 medicated tar,1.0,1,1,0,0.0,0.0,1.0
miacalcin nasal,1.0,1,1,0,0.0,0.0,1.0
microzide,1.0,1,1,0,0.0,1.0,1.0
migergot,1.0,1,1,0,0.0,0.0,1.0
milk of magnesia,1.0,2,2,0,0.0,0.5,1.0
buprenex,1.0,1,1,0,0.0,0.0,1.0
monistat 1-day or night combination pack,1.0,3,3,0,0.0,1.0,1.0
s-adenosylmethionine,1.0,1,1,0,0.0,0.0,1.0
saccharomyces boulardii lyo,1.0,1,1,0,0.0,0.0,1.0
salagen,1.0,1,1,0,0.0,0.0,1.0
salicylic acid / sulfur,1.0,1,1,0,0.0,0.0,1.0
salivamax,1.0,1,1,0,0.0,0.0,1.0
anacin,1.0,2,2,0,0.0,0.0,1.0
sancuso,1.0,1,1,0,0.0,0.0,1.0
sarna sensitive,1.0,1,1,0,0.0,0.0,1.0
myophen,1.0,1,1,0,0.0,0.0,1.0
mysoline,1.0,2,2,0,0.0,0.0,1.0
bronkaid,1.0,1,1,0,0.0,0.0,1.0
bumetanide,1.0,1,1,0,0.0,0.0,1.0
rogaine women's,1.0,1,1,0,0.0,0.0,1.0
rosac,1.0,1,1,0,0.0,0.0,1.0
rowasa,1.0,1,1,0,0.0,0.0,1.0
rozex,1.0,1,1,0,0.0,1.0,1.0
analpram-hc,1.0,1,1,0,0.0,0.0,1.0
ansaid,1.0,1,1,0,0.0,0.0,1.0
rydapt,1.0,1,1,0,0.0,0.0,1.0
rynatan,1.0,1,1,0,0.0,0.0,1.0
neutrasal,1.0,2,2,0,0.0,0.0,1.0
blistex,1.0,1,1,0,0.0,0.0,1.0
brimonidine / timolol,1.0,2,2,0,0.0,0.0,1.0
nicotrol ns,1.0,1,1,0,0.0,0.0,1.0
nimodipine,1.0,1,1,0,0.0,1.0,1.0
nimotop,1.0,1,1,0,0.0,0.0,1.0
nitrolingual pumpspray,1.0,2,2,0,0.0,0.0,1.0
nizatidine,1.0,1,1,0,0.0,0.0,1.0
biafine,1.0,1,1,0,0.0,0.0,1.0
bicillin l-a,1.0,1,1,0,0.0,1.0,1.0
bioflavonoids / zinc glycinate,1.0,1,1,0,0.0,0.0,1.0
bisacodyl / polyethylene glycol 3350 / potassium chloride / sodium bicarbonate / sodium chloride,1.0,1,1,0,0.0,0.0,1.0
bismuth subgallate,1.0,1,1,0,0.0,0.0,1.0
noritate,1.0,1,1,0,0.0,0.0,1.0
noroxin,1.0,1,1,0,0.0,1.0,1.0
norpace,1.0,1,1,0,0.0,0.0,1.0
rezira,1.0,1,1,0,0.0,0.0,1.0
rocuronium,1.0,2,2,0,0.0,0.0,1.0
anucort-hc,1.0,1,1,0,0.0,0.0,1.0
aranesp,1.0,2,2,0,0.0,0.0,1.0
arcalyst,1.0,1,1,0,0.0,0.0,1.0
rogaine men's extra strength,1.0,1,1,0,0.0,0.0,1.0
norpace cr,1.0,1,1,0,1.0,0.0,1.0
nortrel 7 / 7 / 7,1.0,1,1,0,0.0,1.0,1.0
bepreve,1.0,1,1,0,0.0,0.0,1.0
betaseron,1.0,1,1,0,0.0,0.0,1.0
nystatin / triamcinolone,1.0,3,3,0,0.0,0.0,1.0
nystop,1.0,1,1,0,0.0,0.0,1.0
radiaplexrx,1.0,1,1,0,0.0,1.0,1.0
aristocort a,1.0,1,1,0,0.0,0.0,1.0
reprexain,1.0,1,1,0,0.0,0.0,1.0
olux,1.0,2,2,0,0.0,0.0,1.0
olysio,1.0,1,1,0,0.0,0.0,1.0
opcon-a,1.0,1,1,0,1.0,0.0,1.0
opium deodorized,1.0,2,2,0,0.0,0.0,1.0
benazepril / hydrochlorothiazide,1.0,1,1,0,0.0,0.0,1.0
benzefoam,1.0,1,1,0,0.0,0.0,1.0
oraqix,1.0,1,1,0,0.0,1.0,1.0
ortho d,1.0,1,1,0,0.0,0.0,1.0
proventil,1.0,2,2,0,0.0,0.0,1.0
pulmozyme,1.0,1,1,0,0.0,0.0,1.0
pyridostigmine,1.0,4,4,0,0.25,0.5,1.0
q-tapp dm,1.0,1,1,0,0.0,0.0,1.0
orudis kt,1.0,1,1,0,0.0,0.0,1.0
pamabrom,1.0,2,2,0,0.0,0.0,1.0
b & o supprettes,1.0,2,2,0,0.0,0.0,1.0
bacitracin / neomycin / polymyxin b,1.0,2,2,0,0.0,0.0,1.0
bazedoxifene / conjugated estrogens,1.0,3,3,0,0.0,0.0,1.0
patanol,1.0,4,4,0,0.0,0.5,1.0
pegaptanib,1.0,1,1,0,0.0,0.0,1.0
pemoline,1.0,1,1,0,0.0,0.0,1.0
azilect,1.0,2,2,0,0.0,0.5,1.0
percodan,1.0,2,2,0,0.0,0.0,1.0
phenylephrine / pramoxine,1.0,1,1,0,0.0,0.0,1.0
pletal,1.0,1,1,0,0.0,0.0,1.0
prascion ra,1.0,1,1,0,0.0,0.0,1.0
primatene,1.0,1,1,0,0.0,0.0,1.0
procrit,1.0,1,1,0,0.0,0.0,1.0
prodrin,1.0,1,1,0,0.0,0.0,1.0
atralin,1.0,6,6,0,0.16666666666666666,0.16666666666666666,1.0
atrovent nasal,1.0,1,1,0,0.0,0.0,1.0
prosom,1.0,1,1,0,0.0,0.0,1.0
doxorubicin,1.0,1,1,0,0.0,0.0,1.0
